City Name,Latitude,Longitude,Elevation (m),Temperature (°C),Land Cover,Population Density (people/km²),Energy Consumption (kWh),Air Quality Index (AQI),Urban Greenness Ratio (%),Health Impact (Mortality Rate/100k),Wind Speed (km/h),Humidity (%),Annual Rainfall (mm),GDP per Capita (USD)
City_1,-22.58277860747475,71.33821704710826,833.0981797737884,22.97704462840545,Water,2544,7160.489180619084,158,50.45118201458382,14.471976080974397,15.542324941210342,63.66867875569602,1799.1120135139236,7228.414052484175
City_2,81.12857515378491,12.994691883883348,2438.5542632026118,21.979546940743276,Green Space,7868,37117.73097117051,84,17.34609617918854,23.38406062424385,6.419840360949407,47.680934765453785,2235.99918379018,21949.550912625888
City_3,41.75890952605292,-68.57005813692201,3928.256261443837,10.641051645160893,Green Space,4016,48754.99875543115,32,27.132257326126076,30.969498468325096,8.49853210477732,66.66742607570052,2156.371738646906,8882.154380769796
City_4,17.758527155466595,112.9662070945015,3295.0119888430254,18.53119569065391,Green Space,9750,3557.73282320361,195,53.23294609290701,20.559523793474554,12.009385085189821,64.93518263839628,1752.1094179616025,35317.04655446191
City_5,-61.916644720361425,66.50322211939653,3629.5251653765235,19.504890469646426,Water,9668,34427.50015070391,150,17.746265557172133,21.3743227045134,24.355983720311396,64.09876681829066,650.5574333033472,38184.53858647953
City_6,-61.92098633948352,-121.45790183583912,2964.525150198228,19.97056952242251,Industrial,5077,23939.55292375049,158,14.136841780909496,16.51423337510422,0.41586407738580355,59.59143471952963,724.7940543520259,6184.0294933671485
City_7,-79.5449498097241,147.93378641778327,3115.244540330336,24.504309230683305,Water,1227,29379.587513361384,131,34.22689975400054,28.2115908342268,19.481364607098673,61.146264159571025,598.6179742196493,25800.85278203757
City_8,65.91170623948832,116.11340745234082,3821.3804320439367,23.34006366817196,Industrial,7968,5181.725487731917,67,25.12097556392682,42.5287264007558,20.06629593122056,53.377701084724166,1014.9584329849386,40916.62774526994
City_9,18.20070211377758,161.92796878509267,1123.5060398663368,25.197627319836116,Water,842,3107.3406414800347,114,38.1704182241927,10.076418900315643,23.959673410699097,60.77250770569213,771.3229343207555,46871.98903599883
City_10,37.45306400328819,81.2590230198096,2202.412336394132,29.122081538553207,Water,1947,33676.46636699516,186,50.19024452417376,46.72165193767207,27.982588171809397,47.90223622713913,1020.0960805048678,26162.37547034673
